Gas,Date,Forecast,Lower_CI,Upper_CI
CO2_seasonal,2025-09-01,422.4825445573462,422.050123257067,422.9149658576254
CO2_seasonal,2025-10-01,423.68983288583706,422.99013100499764,424.3895347666765
CO2_seasonal,2025-11-01,423.0364151774609,422.0833851932034,423.98944516171844
CO2_seasonal,2025-12-01,424.4869788335704,423.28831391209917,425.6856437550416
CO2_seasonal,2026-01-01,426.02752193024577,424.5903318084587,427.46471205203284
CO2_seasonal,2026-02-01,427.3628425110857,425.6944955666144,429.031189455557
CH4_seasonal,2025-09-01,1924.852314032412,1920.5138674156049,1929.1907606492193
CH4_seasonal,2025-10-01,1933.3830955454673,1926.5315648340475,1940.2346262568872
CH4_seasonal,2025-11-01,1943.4318129635753,1934.2710966030231,1952.5925293241276
CH4_seasonal,2025-12-01,1966.2538930103788,1954.8996723935604,1977.608113627197
CH4_seasonal,2026-01-01,1980.8620483328407,1967.4096686751263,1994.314427990555
CH4_seasonal,2026-02-01,1987.057544324531,1971.5954524426738,2002.519636206388
N2O_seasonal,2025-09-01,339.2314463408077,339.1640469051304,339.29884577648494
N2O_seasonal,2025-10-01,339.2997397941146,339.1826924708903,339.4167871173389
N2O_seasonal,2025-11-01,339.5522885567498,339.3843006118919,339.72027650160766
N2O_seasonal,2025-12-01,339.8817804363922,339.6616578642199,340.10190300856453
N2O_seasonal,2026-01-01,340.120155014955,339.84725098680815,340.39305904310186
N2O_seasonal,2026-02-01,340.21623930953757,339.89039652924953,340.5420820898256
SF6_seasonal,2025-09-01,12.124960515319962,12.109415087807506,12.14050594283242
SF6_seasonal,2025-10-01,12.153130522239703,12.128423045450225,12.177837999029181
SF6_seasonal,2025-11-01,12.263742225488276,12.230276635889476,12.297207815087075
SF6_seasonal,2025-12-01,12.411830565566062,12.369652090016368,12.454009041115755
SF6_seasonal,2026-01-01,12.478873689271678,12.427953526637394,12.529793851905962
SF6_seasonal,2026-02-01,12.482020618492205,12.422324291445173,12.541716945539237
